sampleID	pair		pairing_type	inter_vs_intra	dvh	D.line	D.generation	D.epd	D.colony	mmp	M.line	M.generation	M.epd	M.colony	rate	yield	source	used.model	picked.model	measure	avg.rate	sd.rate	avg.yield	sd.yield	notes	isgood	wasmodified	windowsize	rate_Kris	rate_Kris_sd	OD_Kris	OD_Kris_sd			
9/23/2019-sPD-03	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	1	60	0.074615987	0.001202269	0.438353458	0.002592076	16	0.074615987	0.438353458
9/23/2019-sPD-04	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	0	22	0.075433689	0.001789701	0.451822811	0.008489668	16	0.075433689	0.451822811
9/23/2019-sPD-05	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	1	60	0.113056013	0.003593207	0.34147007	0.004875341	16	0.113056013	0.34147007
9/23/2019-sPD-06	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	1	70	0.086432835	0.003816074	0.443354833	0.003389537	16	0.086432835	0.443354833
9/23/2019-sPD-07	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	0	30	0.078962683	0.000961142	0.447444416	0.008222531	16	0.078962683	0.447444416
9/23/2019-sPD-08	UE3.152.09.D01 & UE3.152.03.M01	UE3.152.09.D01 & UE3.152.03.M01Jess	Dev_Mev	D9_M3	UE3.152.09.D01	UE3	152	9	D01	UE3.152.03.M01	UE3	152	3	M01			Jess									0	0	36	0.079807656	0.005010123	0.440354334	0.00714805	16	0.079807656	0.440354334
4/26/2019-sOP-17	UE3.152.09.D01 & UE3.152.09.M01	UE3.152.09.D01 & UE3.152.09.M01Jess	Dev_Mev	D9_M9	UE3.152.09.D01	UE3	152	9	D01	UE3.152.09.M01	UE3	152	9	M01	0.022647797	0.474675744	Jess	richards	richards	OD600	0.022748977	0.000824962	0.464882199	0.017598963		0	0	39	0.058472102	0.000133679	0.474652	0.005630539	8	0.058472102	0.474652
4/26/2019-sOP-19	UE3.152.09.D01 & UE3.152.09.M01	UE3.152.09.D01 & UE3.152.09.M01Jess	Dev_Mev	D9_M9	UE3.152.09.D01	UE3	152	9	D01	UE3.152.09.M01	UE3	152	9	M01	0.022061461	0.464355933	Jess	richards	richards	OD600	0.022748977	0.000824962	0.464882199	0.017598963		0	1	85	0.049412772	0.005745022	0.468658	0.016408226	8	0.049412772	0.468658
4/26/2019-sOP-20	UE3.152.09.D01 & UE3.152.09.M01	UE3.152.09.D01 & UE3.152.09.M01Jess	Dev_Mev	D9_M9	UE3.152.09.D01	UE3	152	9	D01	UE3.152.09.M01	UE3	152	9	M01	0.021472572	0.471500136	Jess	richards	richards	OD600	0.022748977	0.000824962	0.464882199	0.017598963		0	0	31	0.073294954	0.001130187	0.470152	0.008329998	8	0.073294954	0.470152
4/26/2019-sOP-21	UE3.152.09.D01 & UE3.152.09.M01	UE3.152.09.D01 & UE3.152.09.M01Jess	Dev_Mev	D9_M9	UE3.152.09.D01	UE3	152	9	D01	UE3.152.09.M01	UE3	152	9	M01	0.022435159	0.45816913	Jess	richards	richards	OD600	0.022748977	0.000824962	0.464882199	0.017598963		0	1	20	0.099688876	0.000855581	0.457308	0.003747235	8	0.099688876	0.457308
